num_threads : 1
lnc-runner : 06-07
solver : none
MIP_reduce_prob : 0
presolver : cplex
lnc-repeat : 5
MIP_cuts_factor : 0.0
lnc-seed : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1;3.24;0.0;0.0;0.0;0.0;0.0;0.0
scpnre2;3.72;0.0;0.0;0.0;0.0;0.0;0.0
scpnre3;2.77;0.0;0.0;0.0;0.0;0.0;0.0
scpnre4;3.59;0.0;0.0;0.0;0.0;0.0;0.0
scpnre5;3.51;0.0;0.0;0.0;0.0;0.0;0.0
scpnrf1;4.17;0.0;0.0;0.0;0.0;0.0;0.0
scpnrf2;4.32;0.0;0.0;0.0;0.0;0.0;0.0
scpnrf3;4.27;0.0;0.0;0.0;0.0;0.0;0.0
scpnrf4;3.94;0.0;0.0;0.0;0.0;0.0;0.0
scpnrf5;3.36;0.0;0.0;0.0;0.0;0.0;0.0
scpnrg1;8.59;0.0;0.0;0.0;0.0;0.0;0.0
scpnrg2;7.09;0.0;0.0;0.0;0.0;0.0;0.0
scpnrg3;6.60;0.0;0.0;0.0;0.0;0.0;0.0
scpnrg4;7.77;0.0;0.0;0.0;0.0;0.0;0.0
scpnrg5;7.09;0.0;0.0;0.0;0.0;0.0;0.0
scpnrh1;9.85;0.0;0.0;0.0;0.0;0.0;0.0
scpnrh2;9.23;0.0;0.0;0.0;0.0;0.0;0.0
scpnrh3;9.18;0.0;0.0;0.0;0.0;0.0;0.0
scpnrh4;7.27;0.0;0.0;0.0;0.0;0.0;0.0
scpnrh5;8.29;0.0;0.0;0.0;0.0;0.0;0.0
