num_threads : 1
lnc-runner : 06-07
solver : none
MIP_reduce_prob : 0
presolver : dominance
lnc-repeat : 5
MIP_cuts_factor : 0.0
lnc-seed : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1;650.44;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre2;710.66;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre3;690.02;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre4;681.69;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre5;659.86;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf1;2491.36;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf2;2036.07;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf3;2209.6;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf4;2645.95;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf5;3332.33;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg1;1190.9;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg2;1343.7;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg3;1144.53;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg4;1316.04;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg5;1142.68;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh1;2542.16;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh2;2576.38;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh3;2740.46;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh4;2488.34;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh5;2498.75;0.0;0.0;-1e+75;0.0;0.0;0.0
