num_threads : 1
lnc-runner : 06-07
solver : none
MIP_reduce_prob : 0
presolver : dominance
lnc-repeat : 5
MIP_cuts_factor : 0.0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_cpx;11.53;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre2_cpx;22.25;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre3_cpx;12.3;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre4_cpx;13.82;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnre5_cpx;11.36;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf1_cpx;71.09;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf2_cpx;51.65;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf3_cpx;66.87;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf4_cpx;72.56;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrf5_cpx;117.65;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg1_cpx;43.0;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg2_cpx;30.47;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg3_cpx;56.26;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg4_cpx;49.61;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrg5_cpx;52.57;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh1_cpx;99.28;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh2_cpx;85.27;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh3_cpx;88.9;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh4_cpx;82.32;0.0;0.0;-1e+75;0.0;0.0;0.0
scpnrh5_cpx;74.35;0.0;0.0;-1e+75;0.0;0.0;0.0
