num_threads : 1
lnc-runner : 06-07
solver : cplex
MIP_reduce_prob : 1
presolver : none
lnc-repeat : 5
MIP_cuts_factor : 0
lnc-time_limits : 18000
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnrg1;0.05;18000.0;176.0;172.97;1.72;991658.6;425638.2
scpnrg2;0.1;3147.41;154.0;154.0;0.0;199706.6;0.0
scpnrg3;0.09;18000.0;166.6;161.82;2.87;1260491.6;739138.0
scpnrg4;0.1;18000.0;168.8;164.1;2.78;1181769.4;639052.6
scpnrg5;0.09;18000.0;168.0;162.78;3.11;1090322.8;688329.6
scpnrh1;0.19;18000.0;64.4;55.65;13.58;1246697.2;1088933.0
scpnrh2;0.17;18000.02;63.8;56.26;11.81;1326751.0;1124598.6
scpnrh3;0.19;18000.0;60.2;52.59;12.64;1345568.6;1150378.0
scpnrh4;0.18;18000.0;58.4;51.23;12.27;1331430.0;1121670.4
scpnrh5;0.17;18000.0;55.0;49.98;9.12;1360743.0;1021025.2
