solver : cplex
MIP_cuts_factor : -1
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;77.76;29.0;29.0;0.0;26629.0;0.0
scpnre2_red;0.02;666.22;30.0;30.0;0.0;197333.6;0.0
scpnre3_red;0.01;73.32;27.0;27.0;0.0;21104.4;0.0
scpnre4_red;0.01;209.86;28.0;28.0;0.0;55721.6;0.0
scpnre5_red;0.01;71.36;28.0;28.0;0.0;17741.8;0.0
scpnrf1_red;0.01;74.9;14.0;14.0;0.0;27196.4;0.0
scpnrf2_red;0.01;47.04;15.0;15.0;0.0;18821.2;0.0
scpnrf3_red;0.01;18.83;14.0;14.0;0.0;5260.2;0.0
scpnrf4_red;0.01;118.06;14.0;14.0;0.0;49586.6;0.0
scpnrf5_red;0.01;946.24;13.0;13.0;0.0;410140.6;0.0
scpnrg1_red;0.02;3600.0;176.0;170.82;2.94;197675.0;121286.8
scpnrg2_red;0.02;2622.58;154.0;154.0;0.0;179330.4;0.0
scpnrg3_red;0.02;3600.0;166.6;159.35;4.35;220745.2;138591.8
scpnrg4_red;0.02;3600.0;168.8;161.35;4.41;196260.6;120852.4
scpnrg5_red;0.02;3600.0;168.0;159.97;4.78;207402.6;137877.0
scpnrh1_red;0.03;3600.0;64.6;53.93;16.51;204673.2;168508.2
scpnrh2_red;0.03;3600.0;64.8;54.8;15.43;254589.4;212189.8
scpnrh3_red;0.03;3600.0;60.2;51.18;14.96;247778.8;191524.8
scpnrh4_red;0.03;3600.0;58.6;49.98;14.71;253733.8;199092.6
scpnrh5_red;0.03;3600.0;55.2;48.71;11.76;251290.6;189100.8
