solver : cplex
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;70.71;29.0;29.0;0.0;24730.4;0.0
scpnre2_red;0.01;388.94;30.0;30.0;0.0;180884.4;0.0
scpnre3_red;0.01;60.3;27.0;27.0;0.0;17950.0;0.0
scpnre4_red;0.01;127.12;28.0;28.0;0.0;40329.2;0.0
scpnre5_red;0.01;35.26;28.0;28.0;0.0;11785.6;0.0
scpnrf1_red;0.01;79.07;14.0;14.0;0.0;29603.0;0.0
scpnrf2_red;0.01;50.13;15.0;15.0;0.0;18529.0;0.0
scpnrf3_red;0.01;36.36;14.0;14.0;0.0;10982.4;0.0
scpnrf4_red;0.01;132.68;14.0;14.0;0.0;49942.8;0.0
scpnrf5_red;0.01;493.57;13.0;13.0;0.0;308797.2;0.0
scpnrg1_red;0.01;3600.0;176.0;171.01;2.84;193197.8;112009.6
scpnrg2_red;0.02;2886.31;154.0;153.7;0.2;203194.0;5025.6
scpnrg3_red;0.02;3600.0;167.0;159.41;4.54;228072.6;159140.4
scpnrg4_red;0.01;3600.0;170.2;161.32;5.22;207796.4;142896.2
scpnrg5_red;0.02;3600.0;168.0;160.43;4.51;217112.8;142887.6
scpnrh1_red;0.03;3600.0;64.0;54.16;15.37;208974.8;164743.0
scpnrh2_red;0.03;3600.0;64.2;54.81;14.62;241695.4;189153.0
scpnrh3_red;0.03;3600.0;60.2;51.16;15.0;241911.6;186912.4
scpnrh4_red;0.02;3600.0;59.0;49.89;15.42;239950.0;185396.8
scpnrh5_red;0.02;3600.0;55.0;48.66;11.52;236905.8;173051.0
