balas_max_branch : 4
balas_max_singl : 2
solver : balasbcrule1
MIP_cuts_factor : 0
lnc-seed : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.02;164.79;29.0;29.0;0.0;47974.6;0.0
scpnre2_red;0.02;798.47;30.0;30.0;0.0;278730.6;0.0
scpnre3_red;0.02;113.49;27.0;27.0;0.0;26559.8;0.0
scpnre4_red;0.02;123.24;28.0;28.0;0.0;29339.8;0.0
scpnre5_red;0.02;44.72;28.0;28.0;0.0;10556.8;0.0
scpnrf1_red;0.01;154.81;14.0;14.0;0.0;60912.4;0.0
scpnrf2_red;0.01;113.54;15.0;15.0;0.0;45221.6;0.0
scpnrf3_red;0.01;150.39;14.0;14.0;0.0;59600.0;0.0
scpnrf4_red;0.01;344.91;14.0;14.0;0.0;143987.2;0.0
scpnrf5_red;0.01;2368.4;13.6;13.6;0.0;1550872.4;0.0
scpnrg1_red;0.02;3600.01;176.0;169.97;3.42;91335.0;60209.6
scpnrg2_red;0.02;3600.0;155.0;151.01;2.58;112815.0;69566.0
scpnrg3_red;0.01;3600.02;167.0;156.99;6.0;85395.4;69928.4
scpnrg4_red;0.02;3600.01;170.6;158.96;6.82;73034.4;59184.4
scpnrg5_red;0.01;3600.01;168.8;158.35;6.19;86656.0;68098.2
scpnrh1_red;0.03;3600.01;65.0;53.33;17.96;78488.6;69554.0
scpnrh2_red;0.02;3600.02;64.0;54.1;15.47;89514.4;74078.0
scpnrh3_red;0.03;3600.01;60.6;50.41;16.79;92861.0;79194.4
scpnrh4_red;0.03;3600.01;58.4;49.14;15.85;101327.0;86350.0
scpnrh5_red;0.02;3600.01;56.2;47.88;14.79;102984.0;86475.2
