balas_max_branch : 8
balas_max_singl : 2
solver : balasbcrule1
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.02;509.01;29.0;29.0;0.0;259270.0;0.0
scpnre2_red;0.01;1768.17;30.2;29.81;1.25;817920.4;67061.6
scpnre3_red;0.01;126.96;27.0;27.0;0.0;40393.8;0.0
scpnre4_red;0.01;307.0;28.0;28.0;0.0;136325.6;0.0
scpnre5_red;0.01;176.62;28.0;28.0;0.0;106428.0;0.0
scpnrf1_red;0.01;159.62;14.0;14.0;0.0;106680.8;0.0
scpnrf2_red;0.01;67.52;15.0;15.0;0.0;39772.6;0.0
scpnrf3_red;0.01;92.29;14.0;14.0;0.0;52526.4;0.0
scpnrf4_red;0.01;330.85;14.0;14.0;0.0;231312.4;0.0
scpnrf5_red;0.01;2702.13;13.6;12.48;7.99;2554692.8;262469.0
scpnrg1_red;0.02;3600.01;176.0;170.05;3.38;99506.2;64136.8
scpnrg2_red;0.01;3600.0;154.4;151.76;1.71;193753.6;57422.8
scpnrg3_red;0.01;3600.0;167.0;157.32;5.8;125925.0;92922.0
scpnrg4_red;0.01;3600.0;169.25;159.69;5.64;117335.25;86499.5
scpnrg5_red;0.02;3600.01;168.8;158.28;6.23;84697.2;63875.4
scpnrh1_red;0.03;3600.0;64.2;53.31;16.96;83938.2;67028.2
scpnrh2_red;0.03;3600.01;64.2;54.07;15.77;94082.2;73929.0
scpnrh3_red;0.03;3600.02;61.0;50.37;17.41;91135.0;75517.8
scpnrh4_red;0.02;3600.01;58.8;49.1;16.5;105531.6;89843.4
scpnrh5_red;0.03;3600.0;55.6;47.95;13.76;106726.8;85340.8
