balas_max_branch : 4
balas_max_singl : 2
solver : balasbcrule1-sparse
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;176.19;29.0;29.0;0.0;39902.4;0.0
scpnre2_red;0.01;1886.76;30.0;30.0;0.0;424340.6;0.0
scpnre3_red;0.01;99.37;27.0;27.0;0.0;13258.6;0.0
scpnre4_red;0.01;139.65;28.0;28.0;0.0;27220.4;0.0
scpnre5_red;0.01;62.42;28.0;28.0;0.0;8270.8;0.0
scpnrf1_red;0.01;143.12;14.0;14.0;0.0;25114.2;0.0
scpnrf2_red;0.01;116.08;15.0;15.0;0.0;19205.6;0.0
scpnrf3_red;0.01;123.43;14.0;14.0;0.0;18789.4;0.0
scpnrf4_red;0.01;400.25;14.0;14.0;0.0;67269.8;0.0
scpnrf5_red;0.01;1275.33;13.0;13.0;0.0;264024.8;0.0
scpnrg1_red;0.01;3600.03;176.0;169.07;3.94;51942.8;32845.2
scpnrg2_red;0.02;3600.03;154.8;150.47;2.8;72958.2;41494.2
scpnrg3_red;0.02;3600.01;167.2;156.57;6.36;57570.0;46974.2
scpnrg4_red;0.01;3600.03;170.0;158.1;7.0;45750.6;32852.8
scpnrg5_red;0.02;3600.01;168.4;157.68;6.37;53510.0;40741.6
scpnrh1_red;0.03;3600.07;64.8;52.87;18.4;42319.2;36045.8
scpnrh2_red;0.03;3600.02;64.6;53.57;17.06;44536.8;37754.6
scpnrh3_red;0.03;3600.05;61.0;49.89;18.2;44286.2;36927.6
scpnrh4_red;0.03;3600.01;58.6;48.71;16.87;53176.6;46208.2
scpnrh5_red;0.03;3600.0;55.6;47.55;14.45;57995.4;47433.0
