solver : balasbcrule2
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;1397.6;29.0;29.0;0.0;711816.8;0.0
scpnre2_red;0.01;3600.05;30.8;27.34;11.21;1529080.2;959051.4
scpnre3_red;0.01;554.43;27.0;27.0;0.0;212619.2;0.0
scpnre4_red;0.01;1128.05;28.0;28.0;0.0;500035.4;0.0
scpnre5_red;0.01;324.79;28.0;28.0;0.0;129196.6;0.0
scpnrf1_red;0.01;203.96;14.0;14.0;0.0;91477.0;0.0
scpnrf2_red;0.01;133.72;15.0;15.0;0.0;59029.6;0.0
scpnrf3_red;0.01;127.05;14.0;14.0;0.0;51472.8;0.0
scpnrf4_red;0.01;548.66;14.0;14.0;0.0;242715.4;0.0
scpnrf5_red;0.01;1447.6;13.0;13.0;0.0;641883.4;0.0
scpnrg1_red;0.03;3600.06;176.0;164.58;6.49;187268.2;146501.8
scpnrg2_red;0.03;3600.0;155.2;146.47;5.62;189623.6;141899.6
scpnrg3_red;0.03;3600.02;167.6;152.6;8.95;217498.8;178434.0
scpnrg4_red;0.03;3600.0;170.8;152.52;10.7;207629.8;175621.0
scpnrg5_red;0.03;3600.0;168.4;151.63;9.96;198831.4;169853.4
scpnrh1_red;0.03;3600.0;64.2;50.71;21.01;343996.4;320998.2
scpnrh2_red;0.03;3600.0;64.6;51.17;20.78;347998.0;324861.6
scpnrh3_red;0.03;3600.01;61.2;47.76;21.95;353973.6;328563.0
scpnrh4_red;0.03;3600.01;58.8;46.8;20.41;374854.0;343725.6
scpnrh5_red;0.02;3600.0;55.4;45.33;18.17;375063.0;336239.8
