num_threads : 1
lnc-runner : 06-07
solver : balasbcrule2
verbosity : 0
lnc-time_limits : 3600
lnc-repeat : 5
MIP_cuts_factor : 0
lnc-seed : 0
Instance;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;1511.74;29.0;29.0;0.0;701420.8;0.0
scpnre2_red;3600.0;30.4;27.22;10.43;1195758.4;671709.0
scpnre3_red;513.01;27.0;27.0;0.0;213749.4;0.0
scpnre4_red;1622.86;28.0;28.0;0.0;743647.2;0.0
scpnre5_red;321.56;28.0;28.0;0.0;136790.6;0.0
scpnrf1_red;216.25;14.0;14.0;0.0;94316.6;0.0
scpnrf2_red;128.0;15.0;15.0;0.0;56631.2;0.0
scpnrf3_red;126.87;14.0;14.0;0.0;51570.2;0.0
scpnrf4_red;536.14;14.0;14.0;0.0;243593.4;0.0
scpnrf5_red;1736.12;13.0;13.0;0.0;780800.0;0.0
