num_threads : 1
lnc-runner : 06-07
solver : maxcol
lnc-time_limits : 3600
lnc-repeat : 5
MIP_cuts_factor : 0
lnc-seed : 0
Instance;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;366.9;29.0;29.0;0.0;142931.2;0.0
scpnre2_red;3600.0;31.0;28.77;7.2;1341437.0;483665.4
scpnre3_red;211.13;27.0;27.0;0.0;82811.2;0.0
scpnre4_red;363.77;28.0;28.0;0.0;158830.8;0.0
scpnre5_red;85.18;28.0;28.0;0.0;32436.6;0.0
scpnrf1_red;131.88;14.0;14.0;0.0;52930.2;0.0
scpnrf2_red;92.74;15.0;15.0;0.0;37820.4;0.0
scpnrf3_red;79.24;14.0;14.0;0.0;29620.0;0.0
scpnrf4_red;229.02;14.0;14.0;0.0;97837.4;0.0
scpnrf5_red;1065.88;13.0;13.0;0.0;435431.6;0.0
